palabra,cantidad
"<artifactid>commons",1
sourceencoding>utf,1
target>,1
instance,1
mycompany</groupid>,1
xsi=http,1
"</project>",1
source>17</maven,1
"<project",2
8</project,1
"//maven",3
version=1,1
xsi,1
schemalocation=http,1
xmlns,1
encoding=utf,1
apache,4
"<artifactid>csv</artifactid>",1
xml,1
"<groupid>com",1
"<version>1",2
"<dependency>",1
sourceencoding>,1
"<packaging>jar</packaging>",1
"//www",1
compiler,4
commons</groupid>,1
"<maven",2
"</dependencies>",1
snapshot</version>,1
"<type>jar</type>",1
4</version>,1
"<modelversion>4",1
0</modelversion>,1
"<properties>",1
"<dependencies>",1
target>17</maven,1
xsd>,1
org/xsd/maven,1
"</properties>",1
org/pom/4,2
xmlns=http,1
"<groupid>org",1
csv</artifactid>,1
build,2
http,1
org/2001/xmlschema,1
"</dependency>",1
source>,1
